"","leading_edge_index","leading_edge_val","crossed_frac_7","crossed_frac_0","crossed_frac_11","crossed_frac_3","crossed_frac_15","count_7","count_0","count_11","count_3","count_15"
"185",240,16,0.8775,0.5697,0.8858,0.8663,0.9007,8775,5697,8858,8663,9007
"186",240,17,0.9945,0.5977,0.9979,0.9761,0.9991,9945,5977,9979,9761,9991
"187",248,12,0.05,0.0468,0.0497,0.0485,0.0497,500,468,497,485,497
"188",248,13,0.1066,0.1,0.1012,0.1108,0.1128,1066,1000,1012,1108,1128
"189",248,14,0.2594,0.2142,0.274,0.27,0.2582,2594,2142,2740,2700,2582
"190",248,15,0.5423,0.3871,0.5506,0.5445,0.5566,5423,3871,5506,5445,5566
"191",248,16,0.8749,0.5743,0.8934,0.8566,0.8941,8749,5743,8934,8566,8941
"192",248,17,0.9953,0.5982,0.998,0.9784,0.999,9953,5982,9980,9784,9990
"193",256,12,0.0445,0.0456,0.0433,0.0421,0.0444,445,456,433,421,444
"194",256,13,0.1042,0.0968,0.1024,0.1037,0.0984,1042,968,1024,1037,984
"195",256,14,0.257,0.2077,0.2552,0.2683,0.2563,2570,2077,2552,2683,2563
"196",256,15,0.5458,0.3959,0.5491,0.5302,0.5474,5458,3959,5491,5302,5474
"197",256,16,0.8767,0.5738,0.8889,0.8565,0.8981,8767,5738,8889,8565,8981
"198",256,17,0.9952,0.6017,0.9982,0.9768,0.9988,9952,6017,9982,9768,9988
"199",264,12,0.0448,0.0433,0.0389,0.0425,0.0412,448,433,389,425,412
"200",264,13,0.0997,0.0873,0.1008,0.0984,0.0976,997,873,1008,984,976
"201",264,14,0.2523,0.2,0.2471,0.2529,0.2532,2523,2000,2471,2529,2532
"202",264,15,0.5342,0.3841,0.5461,0.5228,0.5514,5342,3841,5461,5228,5514
"203",264,16,0.8663,0.5692,0.8878,0.8551,0.8898,8663,5692,8878,8551,8898
"204",264,17,0.9945,0.6095,0.9973,0.9775,0.9991,9945,6095,9973,9775,9991
"205",272,12,0.0389,0.0361,0.038,0.0372,0.0406,389,361,380,372,406
"206",272,13,0.0921,0.0903,0.093,0.097,0.0911,921,903,930,970,911
"207",272,14,0.2429,0.1932,0.2406,0.2386,0.2446,2429,1932,2406,2386,2446
"208",272,15,0.5338,0.3803,0.5154,0.5277,0.5386,5338,3803,5154,5277,5386
"209",272,16,0.879,0.5615,0.8847,0.8504,0.8893,8790,5615,8847,8504,8893
"210",272,17,0.9949,0.5957,0.9968,0.9781,0.9989,9949,5957,9968,9781,9989
"211",280,12,0.0363,0.0377,0.0363,0.0368,0.0317,363,377,363,368,317
"212",280,13,0.091,0.078,0.0875,0.0837,0.092,910,780,875,837,920
"213",280,14,0.2354,0.1879,0.2335,0.2284,0.2349,2354,1879,2335,2284,2349
"214",280,15,0.5275,0.3726,0.5287,0.5152,0.529,5275,3726,5287,5152,5290
"215",280,16,0.8641,0.5653,0.8853,0.8555,0.8953,8641,5653,8853,8555,8953
"216",280,17,0.9949,0.5927,0.9976,0.9764,0.9982,9949,5927,9976,9764,9982
"217",288,12,0.0346,0.0344,0.0322,0.0316,0.0313,346,344,322,316,313
"218",288,13,0.0841,0.0742,0.0846,0.084,0.0834,841,742,846,840,834
"219",288,14,0.2199,0.1778,0.225,0.2237,0.2272,2199,1778,2250,2237,2272
"220",288,15,0.5221,0.3713,0.5105,0.5108,0.5244,5221,3713,5105,5108,5244
"221",288,16,0.8597,0.5666,0.8808,0.8454,0.8911,8597,5666,8808,8454,8911
"222",288,17,0.9943,0.5957,0.9983,0.9796,0.9985,9943,5957,9983,9796,9985
"223",296,12,0.0295,0.0311,0.0316,0.0303,0.0313,295,311,316,303,313
"224",296,13,0.0721,0.0709,0.0768,0.0767,0.0805,721,709,768,767,805
